code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1333,1333.T,Ｕｍｉｏｓ,2022-02,OUT,1,46.83,49.26,False,True,2.43,2022-02,838.33,838.33,838.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,799.0,-4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.26,46.83,True,False,2.43
1379,1379.T,ホクト,2022-02,OUT,2,45.39,49.09,True,True,3.7,2022-01,1946.0,1971.0,1971.0,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,1906.0,-2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.09,45.39,True,True,3.7
1662,1662.T,石油資源開発,2022-02,OUT,6,58.68,64.11,True,False,5.43,2021-09,420.0,546.6,546.6,30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,514.2,22.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.11,58.68,False,True,5.43
1720,1720.T,東急建設,2022-02,OUT,1,51.62,51.75,False,True,0.13,2022-02,710.0,710.0,710.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,672.0,-5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.75,51.62,True,False,0.13
1736,1736.T,オーテック,2022-02,OUT,1,51.37,52.35,False,True,0.98,2022-02,786.67,786.67,786.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,729.67,-7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,52.35,51.37,True,False,0.98
1780,1780.T,ヤマウラ,2022-02,OUT,3,57.63,61.42,True,True,3.79,2021-12,965.0,992.0,992.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,951.0,-1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,61.42,57.63,True,True,3.79
1801,1801.T,大成建設,2022-02,OUT,3,46.08,50.33,True,True,4.26,2021-12,3495.0,3815.0,3815.0,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,3535.0,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,50.33,46.08,True,True,4.26
1808,1808.T,長谷工コーポレーション,2022-02,OUT,2,52.11,53.52,False,True,1.41,2022-01,1446.0,1466.0,1466.0,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,1407.0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,53.52,52.11,True,False,1.41
1814,1814.T,大末建設,2022-02,OUT,4,62.06,66.41,True,True,4.34,2021-11,1118.0,1339.0,1339.0,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,1255.0,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,66.41,62.06,True,True,4.34
1820,1820.T,西松建設,2022-02,OUT,3,70.08,73.76,True,True,3.69,2021-12,3645.0,3825.0,3825.0,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,3670.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.76,70.08,True,True,3.69
1833,1833.T,奥村組,2022-02,OUT,4,57.94,59.97,True,False,2.03,2021-11,3140.0,3245.0,3245.0,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,2970.0,-5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.97,57.94,False,True,2.03
1835,1835.T,東鉄工業,2022-02,OUT,3,43.27,46.27,True,True,3.01,2021-12,2507.0,2509.0,2509.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,2268.0,-9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,46.27,43.27,True,True,3.01
1847,1847.T,イチケン,2022-02,OUT,1,52.06,54.51,False,True,2.45,2022-02,969.5,969.5,969.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,930.0,-4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.51,52.06,True,False,2.45
